Strategy,MeanRewards
Hybrid2',26.4
Hybrid2',33
Hybrid2',42.2
Hybrid2',53.4
Hybrid2',60.6
Hybrid2',70.2
Hybrid2',77.8
Hybrid2',86.2
Hybrid2',101.2
Hybrid2',113
Hybrid2',121.2
Hybrid2',131.8
Hybrid2',138.4
Hybrid2',150
Hybrid2',160.6
Hybrid2',167.6
Hybrid2',0.2
Hybrid2',7.8
Hybrid2',15.8
Hybrid2',22.6
Hybrid2',33.2
Hybrid2',40.8
Hybrid2',49.4
Hybrid2',54.4
Hybrid2',62.2
Hybrid2',75.2
Hybrid2',84
Hybrid2',91.4
Hybrid2',103.6
Hybrid2',109.2
Hybrid2',119.6
Hybrid2',128.8
Hybrid2',138.2
Hybrid2',151.2
Hybrid2',162.4
Hybrid2',174.8
Hybrid2',0
Hybrid2',8.4
Hybrid2',17.8
Hybrid2',28
Hybrid2',37.4
Hybrid2',50.8
Hybrid2',55.4
Hybrid2',66
Hybrid2',71
Hybrid2',79
Hybrid2',84.6
Hybrid2',95.4
Hybrid2',104
Hybrid2',104.4
Hybrid2',107.2
Hybrid2',119.4
Hybrid2',126.4
Hybrid2',138.4
Hybrid2',152.2
Hybrid2',167.2
Hybrid2',0
Hybrid2',6
Hybrid2',11.2
Hybrid2',17.4
Hybrid2',28.2
Hybrid2',40.2
Hybrid2',53
Hybrid2',57.4
Hybrid2',64
Hybrid2',70.8
Hybrid2',75.8
Hybrid2',84.6
Hybrid2',95.2
Hybrid2',103.2
Hybrid2',108.8
Hybrid2',115.8
Hybrid2',125.8
Hybrid2',136.8
Hybrid2',145.2
Hybrid2',158
Hybrid4',0
Hybrid4',9
Hybrid4',12.8
Hybrid4',26.2
Hybrid4',33.8
Hybrid4',39
Hybrid4',40.2
Hybrid4',42.6
Hybrid4',53.2
Hybrid4',51.8
Hybrid4',56.2
Hybrid4',63
Hybrid4',65.8
Hybrid4',72
Hybrid4',72.8
Hybrid4',79.8
Hybrid4',82.2
Hybrid4',89.4
Hybrid4',94.8
Hybrid4',96.8
Hybrid4',-0.2
Hybrid4',4.6
Hybrid4',6.2
Hybrid4',17.2
Hybrid4',26.2
